"범죄별(1)",1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"합계",283,333,428,599,656,443,433,390,385,315,352,446,697,581,557,520,492,369,424,767,2653,1680,1581,738,1508,1281,1205,1112,1321,1713,1911,2498,3172,3326,5890,4885,6283,7739,6986,9688,7882,8145,9245,11256,11607,10387,10462,11025,9815,7961
"살인.강도.강간",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,33,50,66,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"살인",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,9,13,22,34,27,24,20,19,14,25,20,18,28,17,17,14,15
"강도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,41,46,41,44,87,69,55,39,31,20,32,18,13,10,19,28,5
"강간",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,35,21,40,44,51,-,-,-,-,-,-,-,-,-,-,-,-
"절도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,175,176,261,257,300,312,343,361,347,560,570,517,475,560,568,753,929,908,960,1041,766,612
"폭력",29,92,77,129,104,105,98,61,67,60,21,2,3,3,15,95,112,34,23,69,74,98,109,106,69,82,136,188,266,339,792,934,1040,816,1072,1439,2058,2158,2142,2735,2890,2819,3066,3356,3480,3113,2839,2875,2203,1669
"지능범",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,73,262,148,322,538,1104,3342,1578,1753,1290,1337,1118,1094,1016,1361,1807,1790,1613,2036,2179,2402,1779
"성범죄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,11,6,9,18,23,21,27,27,38,29,92,97,126,178,207,202,226,306,315,277,209,173
"마약류",4,4,2,3,9,3,5,2,4,1,2,2,3,-,-,1,-,-,-,2,7,5,3,-,11,4,3,2,10,18,40,85,131,91,52,110,37,119,107,125,82,81,117,155,204,134,162,184,204,251
"기타",107,27,58,149,-,-,-,-,-,-,39,25,18,30,89,289,299,20,64,368,79,237,22,18,136,55,49,711,753,862,595,788,1039,897,974,1267,1928,3418,2645,5021,3157,3446,3881,4931,4942,4272,4123,4433,3989,3457
"경제사범",-,4,11,6,49,17,46,22,25,14,28,18,106,62,116,92,64,76,164,113,258,27,14,2,331,207,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"정보사범",-,1,-,-,20,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-,2099,352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"업무상과실치사상범",39,71,85,116,150,60,76,54,57,53,91,67,290,254,156,-,-,198,160,166,85,163,143,123,133,148,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경범",31,2,2,128,2,7,-,-,-,-,49,-,-,-,28,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타형사범",73,132,193,68,322,249,208,251,232,187,121,331,277,232,153,43,17,41,13,49,51,796,1290,489,828,785,773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-